Serial no;Rank;Time;Name;Country;Date of Birth;Place;City;Date;Gender;Event
1987;987;00:00:50.340000;Liliya Novoseltsova;RUS;05.09.1962;3.0;Kiev;22.06.1984;Women;400 m
1988;987;00:00:50.340000;Kirsten Emmelmann;GDR;19.04.1961;3.0;Karl-Marx-Stadt;20.06.1987;Women;400 m
1989;987;00:00:50.340000;Ana Fidelia Quirot;CUB;23.03.1963;1.0;Seattle;22.07.1990;Women;400 m
1990;987;00:00:50.340000;Olga Nazarova II;RUS;01.06.1965;1.0;Duisburg;06.07.1992;Women;400 m
1991;987;00:00:50.340000;Cathy Freeman;AUS;16.02.1973;1.0;Monaco;25.07.1995;Women;400 m
1992;987;00:00:50.340000;Lorraine Fenton;JAM;08.09.1973;4.0;Monaco;08.04.1999;Women;400 m
1993;987;00:00:50.340000;Olabisi Afolabi;NGR;31.10.1975;2.0;Johannesburg;16.09.1999;Women;400 m
1994;987;00:00:50.340000;Sanya Richards-Ross;USA;26.02.1985;1.0;Sacramento;15.07.2004;Women;400 m
1995;987;00:00:50.340000;Svetlana Pospelova;RUS;24.12.1979;1.0;Helsinki;08.08.2005;Women;400 m
1996;987;00:00:50.340000;Natasha Hastings;USA;23.07.1986;3.0;Roma;13.07.2007;Women;400 m
1997;987;00:00:50.340000;Ana Guevara;MEX;04.03.1977;1.0;Rio de Janeiro;25.07.2007;Women;400 m
1998;987;00:00:50.340000;Nicola Sanders;GBR;23.06.1982;2.0;Bruxelles;14.09.2007;Women;400 m
1999;987;00:00:50.340000;Shericka Williams;JAM;17.09.1985;3.0;Eugene;06.08.2008;Women;400 m
2000;987;00:00:50.340000;Novlene Williams-Mills;JAM;26.04.1982;2.0;Thessaloníki;13.09.2009;Women;400 m
2001;987;00:00:50.340000;Amantle Montsho;BOT;04.07.1983;2.0;Ad-Dawhah;14.05.2010;Women;400 m
2002;987;00:00:50.340000;Amantle Montsho;BOT;04.07.1983;1.0;Oslo;06.04.2010;Women;400 m
2003;987;00:00:50.340000;Shericka Williams;JAM;17.09.1985;1.0;Budapest;20.08.2012;Women;400 m
2004;987;00:00:50.340000;Novlene Williams-Mills;JAM;26.04.1982;3.0;Moskva;08.11.2013;Women;400 m
2005;987;00:00:50.340000;Stephenie Ann McPherson;JAM;25.11.1988;1.0;Beijing;24.08.2015;Women;400 m
2006;987;00:00:50.340000;Natasha Hastings;USA;23.07.1986;4.0;Rio de Janeiro;15.08.2016;Women;400 m
2007;1;00:26:17.530000;Kenenisa Bekele;ETH;13.06.1982;1.0;Bruxelles;26.08.2005;Men;10,000 m
2008;2;00:26:20.310000;Kenenisa Bekele;ETH;13.06.1982;1.0;Ostrava;08.06.2004;Men;10,000 m
2009;3;00:26:22.750000;Haile Gebrselassie;ETH;18.04.1973;1.0;Hengelo;01.06.1998;Men;10,000 m
2010;4;00:26:25.970000;Kenenisa Bekele;ETH;13.06.1982;1.0;Eugene;08.06.2008;Men;10,000 m
2011;5;00:26:27.850000;Paul Tergat;KEN;17.06.1969;1.0;Bruxelles;22.08.1997;Men;10,000 m
2012;6;00:26:28.720000;Kenenisa Bekele;ETH;13.06.1982;1.0;Hengelo;29.05.2005;Men;10,000 m
2013;7;00:26:29.220000;Haile Gebrselassie;ETH;18.04.1973;1.0;Bruxelles;05.09.2003;Men;10,000 m
2014;8;00:26:30.030000;Nicholas Kemboi;KEN;25.11.1983;2.0;Bruxelles;05.09.2003;Men;10,000 m
2015;9;00:26:30.740000;Abebe Dinkesa Negera;ETH;06.03.1984;2.0;Hengelo;29.05.2005;Men;10,000 m
2016;10;00:26:31.320000;Haile Gebrselassie;ETH;18.04.1973;1.0;Oslo;04.07.1997;Men;10,000 m
2017;11;00:26:35.630000;Micah Kogo;KEN;03.06.1986;1.0;Bruxelles;25.08.2006;Men;10,000 m
2018;12;00:26:36.260000;Paul Koech;KEN;25.06.1969;2.0;Bruxelles;22.08.1997;Men;10,000 m
2019;13;00:26:37.250000;Zersenay Tadese;ERI;08.02.1982;2.0;Bruxelles;25.08.2006;Men;10,000 m
2020;14;00:26:38.080000;Salah Hissou;MAR;16.01.1972;1.0;Bruxelles;23.08.1996;Men;10,000 m
2021;15;00:26:38.760000;Abdullah Ahmad Hassan;QAT;29.07.1981;3.0;Bruxelles;05.09.2003;Men;10,000 m
2022;16;00:26:39.690000;Sileshi Sihine;ETH;29.01.1983;1.0;Hengelo;31.05.2004;Men;10,000 m
2023;17;00:26:39.770000;Boniface Kiprop;UGA;12.10.1985;2.0;Bruxelles;26.08.2005;Men;10,000 m
2024;18;00:26:41.580000;Haile Gebrselassie;ETH;18.04.1973;2.0;Hengelo;31.05.2004;Men;10,000 m
2025;19;00:26:41.750000;Samuel Wanjiru;KEN;10.11.1986;3.0;Bruxelles;26.08.2005;Men;10,000 m
2026;20;00:26:41.950000;Boniface Kiprop;UGA;12.10.1985;3.0;Bruxelles;25.08.2006;Men;10,000 m
2027;21;00:26:43.160000;Kenenisa Bekele;ETH;13.06.1982;1.0;Bruxelles;16.09.2011;Men;10,000 m
2028;22;00:26:43.530000;Haile Gebrselassie;ETH;18.04.1973;1.0;Hengelo;05.06.1995;Men;10,000 m
2029;23;00:26:43.980000;Lucas Rotich;KEN;16.04.1990;2.0;Bruxelles;16.09.2011;Men;10,000 m
2030;24;00:26:44.360000;Galen Rupp;USA;08.05.1986;1.0;Eugene;30.05.2014;Men;10,000 m
2031;25;00:26:46.190000;Kenenisa Bekele;ETH;13.06.1982;1.0;Bruxelles;14.09.2007;Men;10,000 m
2032;26;00:26:46.310000;Kenenisa Bekele;ETH;13.06.1982;1.0;Berlin;17.08.2009;Men;10,000 m
2033;27;00:26:46.440000;Paul Tergat;KEN;17.06.1969;1.0;Bruxelles;28.08.1998;Men;10,000 m
2034;28;00:26:46.570000;Mohamed Farah;GBR;23.03.1983;1.0;Eugene;03.06.2011;Men;10,000 m
2035;29;00:26:47.890000;Paul Koech;KEN;25.06.1969;2.0;Bruxelles;28.08.1998;Men;10,000 m
2036;30;00:26:48;Galen Rupp;USA;08.05.1986;3.0;Bruxelles;16.09.2011;Men;10,000 m
2037;31;00:26:48.350000;Imane Merga;ETH;15.10.1988;2.0;Eugene;03.06.2011;Men;10,000 m
2038;32;00:26:48.730000;Sileshi Sihine;ETH;29.01.1983;1.0;Hengelo;26.05.2007;Men;10,000 m
2039;33;00:26:48.990000;Josphat Bett;KEN;12.06.1990;3.0;Eugene;03.06.2011;Men;10,000 m
2040;34;00:26:49.020000;Eliud Kipchoge;KEN;05.11.1984;2.0;Hengelo;26.05.2007;Men;10,000 m
2041;35;00:26:49.200000;Moses Masai;KEN;01.06.1986;2.0;Bruxelles;14.09.2007;Men;10,000 m
2042;36;00:26:49.380000;Sammy Kipketer;KEN;29.09.1981;1.0;Bruxelles;30.08.2002;Men;10,000 m
2043;37;00:26:49.410000;Paul Tanui;KEN;22.12.1990;2.0;Eugene;30.05.2014;Men;10,000 m
2044;38;00:26:49.550000;Moses Mosop;KEN;17.07.1985;3.0;Hengelo;26.05.2007;Men;10,000 m
2045;39;00:26:49.570000;Kenenisa Bekele;ETH;13.06.1982;1.0;Saint-Denis;24.08.2003;Men;10,000 m
2046;40;00:26:49.900000;Assefa Mezgebu;ETH;19.06.1978;2.0;Bruxelles;30.08.2002;Men;10,000 m
2047;41;00:26:50.120000;Zersenay Tadese;ERI;08.02.1982;2.0;Berlin;17.08.2009;Men;10,000 m
2048;42;00:26:50.200000;Richard Limo;KEN;18.11.1980;3.0;Bruxelles;30.08.2002;Men;10,000 m
2049;43;00:26:50.530000;Sileshi Sihine;ETH;29.01.1983;1.0;Hengelo;24.05.2008;Men;10,000 m
2050;44;00:26:50.630000;Paul Tanui;KEN;22.12.1990;4.0;Eugene;03.06.2011;Men;10,000 m
2051;45;00:26:50.670000;Albert Chepkurui;KEN;29.07.1981;4.0;Bruxelles;30.08.2002;Men;10,000 m
2052;46;00:26:50.770000;Haile Gebrselassie;ETH;18.04.1973;2.0;Saint-Denis;24.08.2003;Men;10,000 m
2053;47;00:26:50.970000;Mohamed Farah;GBR;23.03.1983;1.0;Eugene;29.05.2015;Men;10,000 m
2054;48;00:26:51.020000;Dejen Gebremeskel;ETH;24.11.1989;1.0;Sollentuna;27.06.2013;Men;10,000 m
2055;49;00:26:51.090000;Zersenay Tadese;ERI;08.02.1982;5.0;Eugene;03.06.2011;Men;10,000 m
2056;50;00:26:51.110000;Yigrem Demelash;ETH;28.01.1994;1.0;Hengelo;29.06.2016;Men;10,000 m
2057;51;00:26:51.160000;Emmanuel Bett;KEN;30.03.1983;1.0;Bruxelles;07.09.2012;Men;10,000 m
2058;52;00:26:51.200000;Haile Gebrselassie;ETH;18.04.1973;2.0;Hengelo;24.05.2008;Men;10,000 m
2059;53;00:26:51.490000;Charles Kamathi;KEN;18.05.1978;1.0;Bruxelles;03.09.1999;Men;10,000 m
2060;54;00:26:51.680000;Vincent Chepkok;KEN;05.07.1988;2.0;Bruxelles;07.09.2012;Men;10,000 m
2061;55;00:26:51.860000;Paul Tanui;KEN;22.12.1990;2.0;Eugene;29.05.2015;Men;10,000 m
2062;56;00:26:51.870000;Nicholas Kemboi;QAT;25.11.1983;4.0;Bruxelles;26.08.2005;Men;10,000 m
2063;57;00:26:51.950000;Emmanuel Bett;KEN;30.03.1983;4.0;Bruxelles;16.09.2011;Men;10,000 m
2064;58;00:26:52.230000;William Sigei;KEN;11.10.1969;1.0;Oslo;22.07.1994;Men;10,000 m
2065;59;00:26:52.300000;Mohammed Mourhit;BEL;10.10.1970;2.0;Bruxelles;03.09.1999;Men;10,000 m
2066;60;00:26:52.330000;Gebre-egziabher Gebremariam;ETH;10.09.1984;4.0;Hengelo;26.05.2007;Men;10,000 m
2067;61;00:26:52.360000;Bedan Karoki;KEN;21.08.1990;3.0;Eugene;30.05.2014;Men;10,000 m
2068;62;00:26:52.600000;Sammy Kipketer;KEN;29.09.1981;5.0;Bruxelles;26.08.2005;Men;10,000 m
2069;63;00:26:52.650000;Kenneth Kipkemoi;KEN;02.08.1984;3.0;Bruxelles;07.09.2012;Men;10,000 m
2070;63;00:26:52.650000;Geoffrey Kamworor;KEN;28.11.1992;3.0;Eugene;29.05.2015;Men;10,000 m
2071;65;00:26:52.810000;Haile Gebrselassie;ETH;18.04.1973;5.0;Hengelo;26.05.2007;Men;10,000 m
2072;66;00:26:52.840000;Sileshi Sihine;ETH;29.01.1983;6.0;Eugene;03.06.2011;Men;10,000 m
2073;67;00:26:52.850000;Abera Kuma;ETH;31.08.1990;2.0;Sollentuna;27.06.2013;Men;10,000 m
2074;68;00:26:52.870000;John Cheruiyot Korir;KEN;13.12.1981;5.0;Bruxelles;30.08.2002;Men;10,000 m
2075;69;00:26:52.930000;Mark Bett;KEN;22.12.1976;6.0;Bruxelles;26.08.2005;Men;10,000 m
2076;70;00:26:53.270000;Eliud Kipchoge;KEN;05.11.1984;5.0;Bruxelles;16.09.2011;Men;10,000 m
2077;71;00:26:53.700000;Kenenisa Bekele;ETH;13.06.1982;1.0;Hengelo;01.06.2003;Men;10,000 m
2078;72;00:26:53.710000;Mohamed Farah;GBR;23.03.1983;1.0;Eugene;27.05.2016;Men;10,000 m
2079;73;00:26:53.730000;Gebre-egziabher Gebremariam;ETH;10.09.1984;2.0;Ostrava;08.06.2004;Men;10,000 m
2080;74;00:26:54.250000;Mathew Kisorio;KEN;16.05.1989;7.0;Eugene;03.06.2011;Men;10,000 m
2081;75;00:26:54.320000;Eliud Kipchoge;KEN;05.11.1984;3.0;Hengelo;24.05.2008;Men;10,000 m
2082;76;00:26:54.410000;Paul Tergat;KEN;17.06.1969;2.0;Bruxelles;23.08.1996;Men;10,000 m
2083;77;00:26:54.580000;Haile Gebrselassie;ETH;18.04.1973;2.0;Hengelo;01.06.2003;Men;10,000 m
2084;78;00:26:54.610000;Stephen Sambu;KEN;07.07.1988;4.0;Eugene;30.05.2014;Men;10,000 m
2085;79;00:26:54.640000;Mark Kiptoo;KEN;21.06.1976;8.0;Eugene;03.06.2011;Men;10,000 m
2086;80;00:26:54.660000;William Sitonik;KEN;01.03.1994;2.0;Eugene;27.05.2016;Men;10,000 m
2087;81;00:26:55.290000;Leonard Komon;KEN;10.01.1988;9.0;Eugene;03.06.2011;Men;10,000 m
2088;82;00:26:55.730000;Geoffrey Kirui;KEN;16.02.1993;6.0;Bruxelles;16.09.2011;Men;10,000 m
2089;83;00:26:56.630000;Richard Limo;KEN;18.11.1980;4.0;Bruxelles;05.09.2003;Men;10,000 m
2090;84;00:26:56.740000;Josphat Kiprono Menjo;KEN;20.08.1979;1.0;Turku;29.08.2010;Men;10,000 m
2091;85;00:26:56.780000;Paul Koech;KEN;25.06.1969;3.0;Bruxelles;23.08.1996;Men;10,000 m
2092;86;00:26:57.080000;Leonard Komon;KEN;10.01.1988;4.0;Hengelo;24.05.2008;Men;10,000 m
2093;87;00:26:57.270000;Sileshi Sihine;ETH;29.01.1983;1.0;Praha;27.06.2005;Men;10,000 m
2094;88;00:26:57.330000;Imane Merga;ETH;15.10.1988;3.0;Sollentuna;27.06.2013;Men;10,000 m
2095;88;00:26:57.330000;Tamirat Tola;ETH;11.08.1991;3.0;Eugene;27.05.2016;Men;10,000 m
2096;90;00:26:57.360000;Josphat Muchiri Ndambiri;KEN;12.02.1985;1.0;Fukuroi;03.05.2009;Men;10,000 m
2097;91;00:26:57.390000;Moses Masai;KEN;01.06.1986;3.0;Berlin;17.08.2009;Men;10,000 m
2098;92;00:26:57.450000;Tamirat Tola;ETH;11.08.1991;2.0;Hengelo;29.06.2016;Men;10,000 m
2099;93;00:26:57.560000;Yigrem Demelash;ETH;28.01.1994;4.0;Bruxelles;07.09.2012;Men;10,000 m
2100;94;00:26:57.880000;Abadi Hadis;ETH;06.11.1997;3.0;Hengelo;29.06.2016;Men;10,000 m
2101;95;00:26:58.250000;Stephen Sambu;KEN;07.07.1988;4.0;Eugene;27.05.2016;Men;10,000 m
2102;96;00:26:58.380000;Yobes Ondieki;KEN;21.02.1961;1.0;Oslo;10.07.1993;Men;10,000 m
2103;97;00:26:58.400000;Josphat Muchiri Ndambiri;KEN;12.02.1985;1.0;Gifu;16.05.2009;Men;10,000 m
2104;98;00:26:58.420000;Micah Kogo;KEN;03.06.1986;3.0;Bruxelles;14.09.2007;Men;10,000 m
2105;99;00:26:58.750000;Ibrahim Jeilan;ETH;12.06.1989;5.0;Eugene;27.05.2016;Men;10,000 m
2106;100;00:26:58.760000;Sileshi Sihine;ETH;29.01.1983;3.0;Hengelo;01.06.2003;Men;10,000 m
2107;101;00:26:59.510000;Bernard Kiprop Kipyego;KEN;16.07.1986;4.0;Bruxelles;14.09.2007;Men;10,000 m
2108;102;00:26:59.540000;Abdullah Ahmad Hassan;QAT;29.07.1981;1.0;Bruxelles;03.09.2004;Men;10,000 m
2109;103;00:26:59.600000;Chris Solinsky;USA;05.12.1984;1.0;Palo Alto;01.05.2010;Men;10,000 m
2110;104;00:26:59.810000;Titus Mbishei;KEN;28.10.1990;7.0;Bruxelles;16.09.2011;Men;10,000 m
2111;105;00:26:59.880000;Martin Irungu Mathathi;KEN;25.12.1985;2.0;Fukuroi;03.05.2009;Men;10,000 m
2112;106;00:26:59.930000;Charles Kamathi;KEN;18.05.1978;2.0;Bruxelles;03.09.2004;Men;10,000 m
2113;107;00:27:00.300000;Zersenay Tadese;ERI;08.02.1982;1.0;El Djezair;19.07.2007;Men;10,000 m
2114;108;00:27:00.660000;Zersenay Tadese;ERI;08.02.1982;6.0;Eugene;27.05.2016;Men;10,000 m
2115;109;00:27:01.130000;Mohamed Farah;GBR;23.03.1983;1.0;Beijing;22.08.2015;Men;10,000 m
2116;110;00:27:01.170000;Kenenisa Bekele;ETH;13.06.1982;1.0;Beijing;17.08.2008;Men;10,000 m
2117;111;00:27:01.440000;Sileshi Sihine;ETH;29.01.1983;3.0;Saint-Denis;24.08.2003;Men;10,000 m
2118;112;00:27:01.580000;Leonard Komon;KEN;10.01.1988;5.0;Bruxelles;07.09.2012;Men;10,000 m
2119;113;00:27:01.760000;Geoffrey Kamworor;KEN;28.11.1992;2.0;Beijing;22.08.2015;Men;10,000 m
2120;114;00:27:01.830000;Gideon Ngatuny;KEN;10.10.1986;2.0;Gifu;16.05.2009;Men;10,000 m
2121;115;00:27:01.980000;Wilson Kiprop;KEN;14.04.1987;1.0;Eugene;01.06.2012;Men;10,000 m
2122;116;00:27:02;Mark Bett;KEN;22.12.1976;3.0;Bruxelles;03.09.2004;Men;10,000 m
2123;117;00:27:02.250000;Moses Masai;KEN;01.06.1986;2.0;Eugene;01.06.2012;Men;10,000 m
2124;118;00:27:02.590000;Kenenisa Bekele;ETH;13.06.1982;1.0;Birmingham;22.06.2012;Men;10,000 m
2125;118;00:27:02.590000;Nicholas Kosimbei;KEN;10.01.1996;7.0;Eugene;27.05.2016;Men;10,000 m
2126;120;00:27:02.620000;Abderrahim Goumri;MAR;21.05.1976;3.0;Hengelo;29.05.2005;Men;10,000 m
2127;120;00:27:02.620000;Deriba Merga Ejigu;ETH;26.10.1980;6.0;Hengelo;26.05.2007;Men;10,000 m
2128;122;00:27:02.770000;Sileshi Sihine;ETH;29.01.1983;2.0;Beijing;17.08.2008;Men;10,000 m
2129;123;00:27:02.810000;Ibrahim Jeilan;ETH;12.06.1989;4.0;Bruxelles;25.08.2006;Men;10,000 m
2130;124;00:27:02.830000;Paul Tanui;KEN;22.12.1990;3.0;Beijing;22.08.2015;Men;10,000 m
2131;125;00:27:03.200000;Moses Masai;KEN;01.06.1986;5.0;Bruxelles;25.08.2006;Men;10,000 m
2132;126;00:27:03.240000;Tariku Bekele;ETH;21.01.1987;2.0;Birmingham;22.06.2012;Men;10,000 m
2133;127;00:27:03.490000;Mike Kigen;KEN;15.01.1986;6.0;Bruxelles;07.09.2012;Men;10,000 m
2134;128;00:27:03.580000;Gebre-egziabher Gebremariam;ETH;10.09.1984;3.0;Birmingham;22.06.2012;Men;10,000 m
2135;129;00:27:03.610000;Sammy Kipketer;KEN;29.09.1981;4.0;Bruxelles;03.09.2004;Men;10,000 m
2136;130;00:27:03.650000;Sileshi Sihine;ETH;29.01.1983;4.0;Birmingham;22.06.2012;Men;10,000 m
2137;131;00:27:03.870000;Paul Tergat;KEN;17.06.1969;1.0;Bruxelles;25.08.2000;Men;10,000 m
2138;132;00:27:03.950000;Gebre-egziabher Gebremariam;ETH;10.09.1984;6.0;Bruxelles;25.08.2006;Men;10,000 m
2139;133;00:27:04;Boniface Kiprop;UGA;12.10.1985;5.0;Bruxelles;03.09.2004;Men;10,000 m
2140;134;00:27:04.110000;Micah Kogo;KEN;03.06.1986;3.0;Beijing;17.08.2008;Men;10,000 m
2141;134;00:27:04.110000;Moses Masai;KEN;01.06.1986;4.0;Beijing;17.08.2008;Men;10,000 m
2142;136;00:27:04.180000;Robert Sigei Kipngetich;KEN;03.01.1982;1.0;Neerpelt;02.06.2007;Men;10,000 m
2143;137;00:27:04.200000;Abraham Chebii;KEN;23.12.1979;1.0;Palo Alto;04.05.2001;Men;10,000 m
2144;138;00:27:04.450000;Bernard Kiprop Kipyego;KEN;16.07.1986;4.0;Hengelo;29.05.2005;Men;10,000 m
2145;139;00:27:04.480000;Moses Kipsiro;UGA;02.09.1986;5.0;Birmingham;22.06.2012;Men;10,000 m
2146;140;00:27:04.540000;Felix Limo;KEN;22.08.1980;2.0;Bruxelles;25.08.2000;Men;10,000 m
2147;141;00:27:04.610000;Josphat Kiprono Menjo;KEN;20.08.1979;2.0;Neerpelt;02.06.2007;Men;10,000 m
2148;142;00:27:04.700000;Zersenay Tadese;ERI;08.02.1982;7.0;Bruxelles;26.08.2005;Men;10,000 m
2149;143;00:27:04.770000;Bedan Karoki;KEN;21.08.1990;4.0;Beijing;22.08.2015;Men;10,000 m
2150;144;00:27:04.790000;Josphat Muchiri Ndambiri;KEN;12.02.1985;1.0;Oita;30.09.2006;Men;10,000 m
2151;145;00:27:04.890000;Tadesse Tola;ETH;31.10.1987;3.0;Neerpelt;02.06.2007;Men;10,000 m
2152;146;00:27:04.920000;Mohamed Ali Abdosh;ETH;28.08.1987;7.0;Hengelo;26.05.2007;Men;10,000 m
2153;147;00:27:05.100000;Kenenisa Bekele;ETH;13.06.1982;1.0;Athínai;20.08.2004;Men;10,000 m
2154;148;00:27:05.110000;Zersenay Tadese;ERI;08.02.1982;5.0;Beijing;17.08.2008;Men;10,000 m
2155;149;00:27:05.140000;John Cheruiyot Korir;KEN;13.12.1981;6.0;Bruxelles;03.09.2004;Men;10,000 m
2156;150;00:27:05.170000;Mohamed Farah;GBR;23.03.1983;1.0;Rio de Janeiro;13.08.2016;Men;10,000 m
2157;151;00:27:05.500000;Bedan Karoki;KEN;21.08.1990;3.0;Eugene;01.06.2012;Men;10,000 m
2158;152;00:27:05.640000;Paul Tanui;KEN;22.12.1990;2.0;Rio de Janeiro;13.08.2016;Men;10,000 m
2159;153;00:27:05.880000;Patrick Ivuti;KEN;30.06.1978;6.0;Bruxelles;30.08.2002;Men;10,000 m
2160;154;00:27:05.900000;Kenenisa Bekele;ETH;13.06.1982;1.0;Osaka;27.08.2007;Men;10,000 m
2161;155;00:27:06.160000;Kidane Tadese;ERI;31.08.1987;1.0;Neerpelt;31.05.2008;Men;10,000 m
2162;156;00:27:06.170000;John Yuda;TAN;09.06.1979;7.0;Bruxelles;30.08.2002;Men;10,000 m
2163;157;00:27:06.260000;Tamirat Tola;ETH;11.08.1991;3.0;Rio de Janeiro;13.08.2016;Men;10,000 m
2164;158;00:27:06.270000;Yigrem Demelash;ETH;28.01.1994;4.0;Rio de Janeiro;13.08.2016;Men;10,000 m
2165;159;00:27:06.350000;Geoffrey Kamworor;KEN;28.11.1992;10.0;Eugene;03.06.2011;Men;10,000 m
2166;160;00:27:06.440000;Worku Bikila;ETH;06.05.1968;1.0;Bruxelles;25.08.1995;Men;10,000 m
2167;161;00:27:06.450000;Habte Jifar;ETH;29.01.1976;1.0;Hengelo;30.05.1999;Men;10,000 m
2168;162;00:27:06.470000;Habtamu Fedaku Ashaw;ETH;13.03.1988;8.0;Hengelo;26.05.2007;Men;10,000 m
2169;163;00:27:06.590000;Ismael Kirui;KEN;20.02.1975;2.0;Bruxelles;25.08.1995;Men;10,000 m
2170;164;00:27:06.680000;Haile Gebrselassie;ETH;18.04.1973;6.0;Beijing;17.08.2008;Men;10,000 m
2171;165;00:27:06.970000;Sileshi Sihine;ETH;29.01.1983;1.0;Bruxelles;05.09.2008;Men;10,000 m
2172;166;00:27:07.290000;Moses Masai;KEN;01.06.1986;7.0;Bruxelles;03.09.2004;Men;10,000 m
2173;167;00:27:07.340000;Haile Gebrselassie;ETH;18.04.1973;1.0;Atlanta;29.07.1996;Men;10,000 m
2174;168;00:27:07.360000;Moses Masai;KEN;01.06.1986;2.0;Bruxelles;05.09.2008;Men;10,000 m
2175;169;00:27:07.510000;Cameron Levins;CAN;28.03.1989;4.0;Eugene;29.05.2015;Men;10,000 m
2176;170;00:27:07.550000;Benjamin Maiyo;KEN;06.10.1978;2.0;Palo Alto;04.05.2001;Men;10,000 m
2177;171;00:27:07.850000;Daniel Salel;KEN;11.12.1990;2.0;Palo Alto;01.05.2010;Men;10,000 m
2178;172;00:27:07.900000;Emmanuel Bett;KEN;30.03.1983;4.0;Eugene;01.06.2012;Men;10,000 m
2179;173;00:27:07.910000;Richard Chelimo;KEN;21.04.1972;1.0;Stockholm;05.07.1993;Men;10,000 m
2180;174;00:27:08;Samuel Wanjiru;KEN;10.11.1986;1.0;Shizuoka;03.05.2005;Men;10,000 m
2181;175;00:27:08.060000;Bernard Kiprop Kipyego;KEN;16.07.1986;3.0;Bruxelles;05.09.2008;Men;10,000 m
2182;176;00:27:08.170000;Paul Tergat;KEN;17.06.1969;2.0;Atlanta;29.07.1996;Men;10,000 m
2183;177;00:27:08.210000;Paul Tanui;KEN;22.12.1990;1.0;Kitakyushu;16.05.2015;Men;10,000 m
2184;178;00:27:08.230000;Arturo Barrios;MEX;12.12.1963;1.0;Berlin;18.08.1989;Men;10,000 m
2185;179;00:27:08.250000;Martin Irungu Mathathi;KEN;25.12.1985;7.0;Beijing;17.08.2008;Men;10,000 m
2186;180;00:27:08.320000;Gideon Ngatuny;KEN;10.10.1986;1.0;Yokohama;24.10.2009;Men;10,000 m
2187;181;00:27:08.330000;Kenenisa Bekele;ETH;13.06.1982;1.0;Helsinki;08.08.2005;Men;10,000 m
2188;182;00:27:08.390000;Samuel Chelanga;KEN;23.02.1985;3.0;Palo Alto;01.05.2010;Men;10,000 m
2189;183;00:27:08.420000;Martin Irungu Mathathi;KEN;25.12.1985;1.0;Kobe;24.04.2005;Men;10,000 m
2190;184;00:27:08.440000;Geoffrey Kirui;KEN;16.02.1993;5.0;Eugene;01.06.2012;Men;10,000 m
2191;185;00:27:08.870000;Sileshi Sihine;ETH;29.01.1983;2.0;Helsinki;08.08.2005;Men;10,000 m
2192;186;00:27:08.910000;Galen Rupp;USA;08.05.1986;5.0;Beijing;22.08.2015;Men;10,000 m
2193;187;00:27:08.920000;Galen Rupp;USA;08.05.1986;5.0;Rio de Janeiro;13.08.2016;Men;10,000 m
2194;188;00:27:08.960000;Moses Mosop;KEN;17.07.1985;3.0;Helsinki;08.08.2005;Men;10,000 m
2195;189;00:27:09.020000;Ibrahim Jeilan;ETH;12.06.1989;1.0;Kitami;19.06.2011;Men;10,000 m
2196;190;00:27:09.030000;Sileshi Sihine;ETH;29.01.1983;2.0;Osaka;27.08.2007;Men;10,000 m
2197;191;00:27:09.070000;Salah Hissou;MAR;16.01.1972;3.0;Bruxelles;22.08.1997;Men;10,000 m
2198;192;00:27:09.110000;Abdullah Ahmad Hassan;QAT;29.07.1981;4.0;Bruxelles;05.09.2008;Men;10,000 m
2199;193;00:27:09.300000;Salah Hissou;MAR;16.01.1972;3.0;Bruxelles;25.08.1995;Men;10,000 m
2200;194;00:27:09.370000;Josphat Kiprono Menjo;KEN;20.08.1979;2.0;Neerpelt;31.05.2008;Men;10,000 m
2201;195;00:27:09.380000;Lucas Rotich;KEN;16.04.1990;6.0;Eugene;01.06.2012;Men;10,000 m
2202;196;00:27:09.390000;Sileshi Sihine;ETH;29.01.1983;2.0;Athínai;20.08.2004;Men;10,000 m
2203;197;00:27:09.400000;Mohamed Ali Abdosh;ETH;28.08.1987;1.0;Utrecht;14.06.2009;Men;10,000 m
2204;198;00:27:09.610000;Richard Limo;KEN;18.11.1980;8.0;Bruxelles;03.09.2004;Men;10,000 m
2205;199;00:27:09.780000;Guye Adola;ETH;20.10.1990;8.0;Eugene;27.05.2016;Men;10,000 m
2206;200;00:27:09.790000;Patrick Ivuti;KEN;30.06.1978;3.0;Bruxelles;25.08.2000;Men;10,000 m
2207;201;00:27:09.830000;John Yuda;TAN;09.06.1979;5.0;Bruxelles;05.09.2003;Men;10,000 m
2208;202;00:27:09.900000;Martin Irungu Mathathi;KEN;25.12.1985;1.0;Kobe;22.04.2007;Men;10,000 m
2209;203;00:27:10.050000;Moses Masai;KEN;01.06.1986;11.0;Eugene;03.06.2011;Men;10,000 m
2210;204;00:27:10.060000;Joshua Cheptegei;UGA;12.09.1996;6.0;Rio de Janeiro;13.08.2016;Men;10,000 m
2211;205;00:27:10.080000;Paul Tergat;KEN;17.06.1969;1.0;Stockholm;30.07.1999;Men;10,000 m
2212;206;00:27:10.340000;Josephat Machuka;KEN;12.12.1973;4.0;Bruxelles;25.08.1995;Men;10,000 m
2213;207;00:27:10.380000;Paul Koech;KEN;25.06.1969;3.0;Bruxelles;03.09.1999;Men;10,000 m
2214;208;00:27:10.510000;Martin Irungu Mathathi;KEN;25.12.1985;1.0;Kobe;23.04.2006;Men;10,000 m
